"id","name","created_at","updated_at"
"112","Tıbbi Dokümantasyon ve Sekreterlik (İÖ)",NULL,NULL
"113","Tıbbi Laboratuvar Teknikleri ",NULL,NULL
"114","Tıbbi Laboratuvar Teknikleri (İÖ)",NULL,NULL
"115","Tıbbi Tanıtım ve Pazarlama",NULL,NULL
"116","Tıbbi Tanıtım ve Pazarlama (İÖ) ",NULL,NULL
"117","Yaşlı Bakımı",NULL,NULL
"118","Yaşlı Bakımı (İÖ)",NULL,NULL
"119","Bilgisayar Programcılığı",NULL,NULL
"120","Elektrik ",NULL,NULL
"121","Elektronik Teknolojisi",NULL,NULL
"122","İklimlendirme ve Soğutma Teknolojisi",NULL,NULL
"123","Kaynak Teknolojisi ",NULL,NULL
"124","Makine",NULL,NULL
"125","Otobüs Kaptanlığı",NULL,NULL
"126","Otomotiv Teknolojisi ",NULL,NULL
"127","Sivil Savunma ve İtfaiyecilik",NULL,NULL
"128","Sivil Savunma ve İtfaiyecilik (İÖ)",NULL,NULL
"129","Ulaştırma ve Trafik Hizmetleri",NULL,NULL
"130","Bilgisayar Programcılığı ",NULL,NULL
"131","Raylı Sistemler Makine Teknolojisi",NULL,NULL
"132","Ilahiyat",NULL,NULL
